"","Version","SystemRequirements"
"ABC.RAP","0.9.0","GNU make"
"abess","0.3.0","C++11"
"abn","2.5-0","Gnu Scientific Library version >= 1.12"
"adimpro","0.9.3","Image Magick (for reading non PPM format), dcraw
(for reading RAW images)."
"admixr","0.9.1","ADMIXTOOLS suite of command-line utilities for
population genetics. See
<https://reich.hms.harvard.edu/software> for the most recent
installation instructions and further information."
"ADMMsigma","2.1","GNU make"
"ahMLE","1.18","C++11"
"AhoCorasickTrie","0.1.2","C++11"
"alakazam","1.1.0","C++11"
"alfr","1.2.1","Alfresco Content Repository (Community or
Enterprise)"
"altair","4.1.1","Python (>= 3.5.0), (Python) Altair (>= 4.0.0). To
use image functions, i.e. suggests: nodejs (> 8), and for
MacOS: X11"
"altmeta","3.3","JAGS 4.x.y (http://mcmc-jags.sourceforge.net)"
"ambient","1.0.0","C++11"
"AncestryMapper","2.0","None, but greater than 12 GB of RAM highly
recommended."
"animation","2.7","ImageMagick (http://imagemagick.org) or
GraphicsMagick (http://www.graphicsmagick.org) or LyX
(http://www.lyx.org) for saveGIF(); (PDF)LaTeX for saveLatex();
SWF Tools (http://swftools.org) for saveSWF(); FFmpeg
(http://ffmpeg.org) or avconv (https://libav.org/avconv.html)
for saveVideo()"
"ANN2","2.3.4","C++11"
"anticlust","0.5.6","The exact (anti)clustering algorithms require that
the GNU linear programming kit (GLPK library) is installed
(<http://www.gnu.org/software/glpk/>). Rendering the vignette
requires pandoc."
"AovBay","0.1.0","GNU make"
"apache.sedona","1.1.0","'Apache Spark' 2.4.x or 3.x"
"APAtree","1.0.1","C++14"
"apcf","0.1.6","C++11, GDAL (>= 2.0.1), GEOS (>= 3.4.0)"
"aphid","1.3.3","GNU make"
"archive","1.1.1","C++11, libarchive: libarchive-dev (deb),
libarchive-devel (rpm), libarchive (homebrew), libarchive_dev
(csw)"
"argparse","2.1.2","python (>= 3.2)"
"ari","0.3.5","ffmpeg (>= 3.2.4)"
"arrangements","1.1.9","gmp (>= 4.2.3)"
"arrApply","2.1","C++11"
"arrow","5.0.0.2","C++11; for AWS S3 support on Linux, libcurl and
openssl (optional)"
"ARTP2","0.9.45","C++11"
"arulesNBMiner","0.1-8","Java (>= 5.0)"
"asbio","1.6-7","BWidget"
"asremlPlus","4.3-21","asreml-R 2.x"
"autocart","1.4.5","GNU make"
"autoharp","0.0.8","pandoc (>= 1.14) - http://pandoc.org"
"autothresholdr","1.3.11","C++11"
"av","0.6.0","FFmpeg (>= 3.2); with at least libx264 and lame
(mp3) drivers. Debian/Ubuntu: libavfilter-dev, Fedora/CentOS:
ffmpeg-devel (via https://rpmfusion.org), MacOS Homebrew:
ffmpeg."
"AWAPer","0.1.46","7z (Windows only)"
"AWR","1.11.189-1","AWS Java SDK (see README.md for more details)"
"babelwhale","1.0.3","Docker and/or Singularity (>=3.0)"
"babette","2.3","BEAST2 (https://www.beast2.org/)"
"bacistool","1.0.0","JAGS (>= 4.3.0)"
"baggr","0.6.9","GNU make"
"BALD","1.0.0-3","JAGS (>= 4.3.0), GNU make"
"bamdit","3.3.2","JAGS (>= 3.4.0) (see
http://mcmc-jags.sourceforge.net)"
"BANOVA","1.2.0","JAGS-4.3.0, C++11"
"bartMachine","1.2.6","Java (>= 7.0)"
"bartMachineJARs","1.1","Java (>= 7.0)"
"baseflow","0.13.2","GNU make, Cargo (>= 1.42.0) [the Rust package
manager] for installation from sources: see file INSTALL"
"bayes4psy","1.2.8","GNU make"
"bayesbr","0.0.1.0","GNU make"
"bayescount","0.9.99-5","JAGS (http://mcmc-jags.sourceforge.net)"
"bayesdfa","1.2.0","GNU make"
"BayesFM","0.1.4","gfortran (>= 4.6.3)"
"bayesforecast","1.0.1","GNU make"
"bayesGAM","0.0.1","GNU make"
"BayesGWQS","0.0.2","OpenBUGS, JAGS"
"bayesplot","1.8.1","pandoc (>= 1.12.3), pandoc-citeproc"
"BayesSenMC","0.1.4","GNU make"
"BayesSUR","2.0-0","C++11"
"BayesVarSel","2.0.1","GNU Scientific Library"
"BayesXsrc","3.0-1.1","GNU make"
"bayesZIB","0.0.2","GNU make"
"bbsBayes","2.3.8.2020","JAGS 4.3.0
(https://sourceforge.net/projects/mcmc-jags/)"
"bcgam","1.0","Rtools (>= 3.3) for Windows, Xcode (>= 9.0) for Mac
OS X"
"BCHM","1.00","JAGS"
"bcputility","0.2.0","bcp Utility"
"bcTSNE","0.10.0","GNU make"
"bdpar","3.0.1","Python (>= 2.7 or >= 3.6)"
"bdpopt","1.0-1","JAGS (>= 3.4.0) (see
http://mcmc-jags.sourceforge.net)"
"beanz","2.4","GNU make"
"beastier","2.4.8","BEAST2 (https://www.beast2.org/)"
"BeastJar","1.10.6","Java (>= 1.8)"
"bedr","1.0.7","Preferred genomic operations engine: 'BEDTools',
'BEDOPS' and 'Tabix (>= 1.3)'."
"bellreg","0.0.1","GNU make"
"benchr","0.2.5","C++11"
"bfp","0.0-42","GNU make, C++11"
"bfw","0.4.1","JAGS >=4.3.0 <http://mcmc-jags.sourceforge.net/>,
Java JDK >=1.4 <https://www.java.com/en/download/manual.jsp>"
"bgumbel","0.0.3","gcc (>= 4.0), gfortran, clang++"
"BGVAR","2.4.0","C++11, GNU make"
"bhmbasket","0.9.3","JAGS (http://mcmc-jags.sourceforge.net)"
"BiBitR","0.3.1","Java"
"bigGP","0.1-6","OpenMPI or MPICH2"
"bigMap","2.3.1","GNU make"
"bignum","0.3.0","C++11"
"bigsimr","0.11.2","Julia (>= 1.5), Bigsimr.jl, Distributions.jl"
"bigsnpr","1.8.1","Package 'bigsnpr' includes a few functions that
wrap existing software such as 'PLINK'
<www.cog-genomics.org/plink2>. Functions are provided to
download these software. Note that these external software
might not work for some operating systems (e.g. 'PLINK' might
not work on Solaris)."
"bigtime","0.2.1","C++11"
"BigVAR","1.0.6","C++11"
"BINtools","0.1.0","GNU make"
"bioacoustics","0.2.7","C++11, fftw3, GNU make"
"bioimagetools","1.1.5","tiff fftw libcurl openssl"
"BioMedR","1.2.1","Java JDK 1.8 or higher"
"biplotbootGUI","1.2","Tcl/Tk package BWidget."
"bisque","1.0.2","A system with a recent-enough C++11 compiler (such
as g++-4.8 or later)."
"bistablehistory","1.0.0","GNU make"
"BivRec","1.2.1","GNU make"
"blandr","0.5.1","pandoc (>=1.12.3)"
"blaster","1.0.3","C++14"
"blastula","0.3.2","pandoc (>= 1.12.3) - http://pandoc.org"
"blatent","0.1.1","C++11"
"blavaan","0.3-17","GNU make"
"blockcluster","4.5.1","GNU make"
"blogdown","1.5","Hugo (<https://gohugo.io>) and Pandoc
(<https://pandoc.org>)"
"bmgarch","1.0.1","GNU make"
"bmggum","0.1.0","GNU make"
"bmlm","1.3.12","GNU make"
"BMTME","1.0.19","C++11, GNU"
"bnclassify","0.4.5","C++11"
"bookdown","0.24","Pandoc (>= 1.17.2)"
"Boom","0.9.7","GNU Make, C++11"
"BOSO","1.0.3","IBM ILOG CPLEX (>= 12.1)"
"botor","0.3.0","Python and boto3
(https://aws.amazon.com/sdk-for-python)"
"bpcs","1.0.0","GNU make"
"bpgmm","1.0.7","C++11"
"BrailleR","0.32.1","Python 3 and wxPython 4.0"
"breathtestcore","0.8.1","pandoc"
"breathteststan","0.8.0","GNU make"
"bridger","0.1.0","LaTeX(texi2dvi) must be present in the system to
create PDF reports"
"brinton","0.2.5","Pandoc (>= 1.12.3), web browser"
"BRugs","0.9-1","OpenBUGS (>= 3.2.2), hence Windows or Linux"
"bsam","1.1.3","JAGS (>= 4.3.0)"
"bsem","1.0.0","GNU make"
"bspm","0.3.8","systemd, python3-dbus, python3-(gobject|gi),
python3-(dnf|apt)"
"bssm","1.1.7-1","C++11, pandoc (>= 1.12.3, needed for vignettes)"
"bsub","1.1.0","Platform LSF, bsub"
"BTLLasso","0.1-11","C++11"
"BTM","0.3.6","C++11"
"BTSPAS","2021.11.1","JAGS"
"BuildSys","1.1.2","'Microsoft Visual Code', 'Rtools' on 'Windows',
'gdb' or 'lldb' depending on which OS"
"BuyseTest","2.3.0","C++11"
"c2d4u.tools","1.2","Ubuntu: at least apt-get and apt-cache."
"Cairo","1.5-12.2","cairo (>= 1.2 http://www.cairographics.org/)"
"cairoDevice","2.28.2.1","cairo (>= 1.0)"
"camtrapR","2.0.3","ExifTool
(http://www.sno.phy.queensu.ca/~phil/exiftool/)"
"caracas","1.1.1","Python (>= 3.6.0)"
"CARlasso","0.1.2","C++11"
"caRpools","0.83","MAGeCK (=0.51, from
http://sourceforge.net/p/mageck/wiki/Home/), bowtie2
(http://bowtie-bio.sourceforge.net/bowtie2/index.shtml)"
"cartogramR","1.0-3","FFTW (>=3.3.1); possible package: fftw-devel (rpm),
fftw-dev (deb) or fftw (brew)."
"CASMAP","0.6.1","C++11"
"castor","1.6.9","C++11"
"catSurv","1.4.0","C++11, GNU make"
"causact","0.4.0","Python and TensorFlow are needed for Bayesian
inference computations; Python (>= 2.7.0) with header files and
shared library; TensorFlow (= v1.14;
https://www.tensorflow.org/); TensorFlow Probability (= v0.7.0;
https://www.tensorflow.org/probability/)"
"CausalQueries","0.0.3","GNU make"
"caviarpd","0.2.17","Cargo (>= 1.51) for installation from sources: see
INSTALL file"
"cbq","0.2.0.2","GNU make"
"CBSr","1.0.5","Java (>= 7.0)"
"CEC","0.10.3","C++11"
"ced","1.0.1","C++11, GNU make"
"chebpol","2.1-2","fftw3 (>= 3.1.2), gsl"
"chicane","0.1.7","bedtools"
"chickn","1.2.3","C++11"
"ChoR","0.0-4","Java (>= 8)"
"cit","2.3.1","gsl (with development libraries libgsl-dev)"
"cld3","1.4.2","libprotobuf and protobuf-compiler"
"cleanNLP","3.0.3","Python (>= 3.7.0)"
"clifford","1.0-2","C++11"
"clinDataReview","1.2.1","pandoc (to create a clinical data review report)"
"clinUtils","0.1.0","pandoc"
"clipr","0.7.1","xclip (https://github.com/astrand/xclip) or xsel
(http://www.vergenet.net/~conrad/software/xsel/) for accessing
the X11 clipboard"
"clock","0.4.1","C++11"
"cloudml","0.6.1","Python (>= 2.7.0)"
"clpAPI","1.3.0","COIN-OR Clp (>= 1.12.0)"
"clustermq","0.8.95.1","C++11, ZeroMQ (libzmq)"
"ClusterR","1.2.5","libarmadillo: apt-get install -y libarmadillo-dev
(deb), libblas: apt-get install -y libblas-dev (deb),
liblapack: apt-get install -y liblapack-dev (deb),
libarpack++2: apt-get install -y libarpack++2-dev (deb),
gfortran: apt-get install -y gfortran (deb), libgmp3: apt-get
install -y libgmp3-dev (deb), libfftw3: apt-get install -y
libfftw3-dev (deb), libtiff5: apt-get install -y libtiff5-dev
(deb)"
"CLVTools","0.8.1","C++11"
"cmaRs","0.1.0","MOSEK (http://www.mosek.com) and MOSEK License for
use of Rmosek"
"cncaGUI","1.0","Tcl/Tk package BWidget."
"CNull","1.0","C++11"
"cnum","0.1.3","C++11"
"CNVRG","1.0.0","GNU make"
"coga","1.1.1","GNU GSL"
"cogmapr","0.9.1","libcurl: libcurl-devel (rpm) or
libcurl4-openssl-dev (deb)."
"collapse","1.6.5","C++11"
"collUtils","1.0.5","Java (>= 1.6)"
"colorizer","0.1.0","ImageMagick++: ImageMagick-c++-devel (rpm) or
libmagick++-dev (deb)"
"colourvalues","0.3.7","C++11"
"comat","0.9.2","C++11"
"CommonJavaJars","1.0-6","Java (>= 5.0)"
"concatipede","1.0.1","GNU make"
"concaveman","1.1.0","GDAL (>= 2.0.0), GEOS (>= 3.3.0), PROJ.4 (>= 4.8.0)"
"conflr","0.1.1","pandoc (>= 1.12.3) - https://pandoc.org"
"CoNI","0.1.0","python3"
"conleyreg","0.1.4","GNU make"
"conquer","1.0.2","C++11"
"conquestr","0.8.5","ACER ConQuest (>=5.12.3)"
"conStruct","1.0.4","GNU make"
"contoureR","1.0.5","C++11"
"convexjlr","0.8.1","Julia (>= 0.6.0), Convex.jl, SCS.jl, ECOS.jl"
"CoordinateCleaner","2.0-20","GDAL (>= 2.0.1)"
"CopernicusDEM","1.0.1","awscli: apt install -y awscli (deb), aws-configure:
aws configure (deb)"
"copula","1.0-1","pdfcrop (part of TexLive) is required to rebuild
the vignettes."
"cordillera","0.8-0","ELKI (>=0.6.0 if used)"
"corehunter","3.2.1","Java JRE 8 or higher"
"coreNLP","0.4-2","Java (>= 7.0); Stanford CoreNLP
<http://nlp.stanford.edu/ software/corenlp.shtml> (>= 3.5.2)"
"corpustools","0.4.8","C++11"
"corrcoverage","1.2.1","C++11"
"couchDB","1.4.1","couchDB instance to connect to and work with."
"coveffectsplot","0.0.9.1","pandoc with https support"
"covTestR","0.1.4","C++11"
"coxinterval","1.2","GNU make"
"CPAT","0.1.0","GNU make"
"cplexAPI","1.4.0","IBM ILOG CPLEX (>= 12.1)"
"cpp11","0.4.0","C++11"
"cppRouting","2.0","GNU make, C++11"
"crandep","0.3.0","pandoc (>= 1.12.3) - http://pandoc.org"
"credentials","1.3.1","git (optional)"
"cronR","0.6.0","cron"
"Crossover","0.1-20","Java (>= 5.0)"
"CTD","1.0.0","gmp (>=5.0)"
"ctgt","2.0","C++11"
"ctrdata","1.7.1","sed, php, cat, perl"
"ctsem","3.5.4","GNU make"
"cubature","2.0.4.2","GNU make"
